Groupe 1_1513150298750_1,Time , User , Action , Current activity , Object , Message,,,Postit updated,Postit moved,Postit created,Resource created,Timer started
Groupe 1_1513150298750_10,1513155181039, Groupe 1 , UPDATE , activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_2c384f89-b78e-9c8d-c8be-7c6957bd3498_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit updated,,,16,13,1,1,6
Groupe 1_1513150298750_11,1513155210592, Groupe 1 , UPDATE , activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_7375fa1a-7280-e23d-ee8f-84b2595849a7_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit updated,,,,,,,
Groupe 1_1513150298750_12,1513155262879, Groupe 1 , UPDATE , activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_92346480-8d60-128a-bc26-ebf561ae0250_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit updated,,,,,,,
Groupe 1_1513150298750_13,1513155283841, Groupe 1 , UPDATE , activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_a5fd2cbb-704c-bf26-2450-fdca4c944042_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit updated,,,,,,,
Groupe 1_1513150298750_14,1513155318529, Groupe 1 , UPDATE , activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_b82c8944-d213-9c83-b5d9-6fa91aab4c96_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit updated,,,,,,,
Groupe 1_1513150298750_15,1513155340057, Groupe 1 , UPDATE , activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_bcf5c790-7ccd-d102-f6ea-dbfcf8cef9f9_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit updated,,,,,,,
Groupe 1_1513150298750_16,1513155356494, Groupe 1 , UPDATE , activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_bcf5c790-7ccd-d102-f6ea-dbfcf8cef9f9_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit updated,,,,,,,
Groupe 1_1513150298750_17,1513155373427, Groupe 1 , UPDATE , activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_bd4450bc-b3ef-45c3-8f6d-9d83baebfa0b_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit updated,,,,,,,
Groupe 1_1513150298750_18,1513155389778, Groupe 1 , UPDATE , activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_bfce5294-bae0-f535-4609-f9a3f08448a8_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit updated,,,,,,,
Groupe 1_1513150298750_19,1513155473294, Groupe 1 , UPDATE , activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_b82c8944-d213-9c83-b5d9-6fa91aab4c96_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit updated,,,,,,,
Groupe 1_1513150298750_2,1513150306741, Groupe 1 , OPEN , NA , NA , open activities list,,,,,,,
Groupe 1_1513150298750_20,1513155640815, Groupe 1 , UPDATE , activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , application_Chronomètre_68d2d2c2-0671-3424-7c24-184143d49062_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , timer started,,,,,,,
Groupe 1_1513150298750_21,1513155641210, Groupe 1 , UPDATE , activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , application_Chronomètre_68d2d2c2-0671-3424-7c24-184143d49062_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , timer started,,,,,,,
Groupe 1_1513150298750_22,1513156470808, Groupe 1 , UPDATE , activity_ea517b38-f1f9-3d5d-fa8a-fa3ad6ace860_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_2c384f89-b78e-9c8d-c8be-7c6957bd3498_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit moved,,,,,,,
Groupe 1_1513150298750_23,1513156604042, Groupe 1 , UPDATE , activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , application_Chronomètre_78c838e7-5a90-d6ba-199e-aeea8c9022a3_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , timer started,,,,,,,
Groupe 1_1513150298750_24,1513156604402, Groupe 1 , UPDATE , activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , application_Chronomètre_78c838e7-5a90-d6ba-199e-aeea8c9022a3_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , timer started,,,,,,,
Groupe 1_1513150298750_25,1513157238499, Groupe 1 , UPDATE , activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_45600344-2798-edaf-8d36-0a609a5b5c69_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit moved,,,,,,,
Groupe 1_1513150298750_26,1513157244794, Groupe 1 , UPDATE , activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_66f8b509-f345-6554-0efe-028470816c7c_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit moved,,,,,,,
Groupe 1_1513150298750_27,1513157249941, Groupe 1 , UPDATE , activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_7c7e66c8-6489-9d6b-cf0d-0ab1bc33101f_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit moved,,,,,,,
Groupe 1_1513150298750_28,1513157262278, Groupe 1 , UPDATE , activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_7375fa1a-7280-e23d-ee8f-84b2595849a7_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit moved,,,,,,,
Groupe 1_1513150298750_29,1513157269718, Groupe 1 , UPDATE , activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_a5fd2cbb-704c-bf26-2450-fdca4c944042_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit moved,,,,,,,
Groupe 1_1513150298750_3,1513153937392, Groupe 1 , OPEN , activity_4fd6a8a7-a725-f811-3173-b6b1f42835ae_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , activity_4fd6a8a7-a725-f811-3173-b6b1f42835ae_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , open activity view,,,,,,,
Groupe 1_1513150298750_30,1513157276151, Groupe 1 , UPDATE , activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_3295ceca-0250-6bee-6baf-7033515b6617_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit moved,,,,,,,
Groupe 1_1513150298750_31,1513157282176, Groupe 1 , UPDATE , activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_bd4450bc-b3ef-45c3-8f6d-9d83baebfa0b_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit moved,,,,,,,
Groupe 1_1513150298750_32,1513157596390, Groupe 1 , CREATE , activity_fdd34cc5-0a1b-267b-de9a-e21da6b08567_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_9913675a-03cb-65b8-34c4-d2697c5d1e97 , postit created,,,,,,,
Groupe 1_1513150298750_33,1513157634889, Groupe 1 , UPDATE , activity_7ba5f879-ff6f-53b6-6a06-60379b5520a8_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , application_Chronomètre_95cf89d1-10cb-769c-4f56-068b49a4d820_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , timer started,,,,,,,
Groupe 1_1513150298750_34,1513157635348, Groupe 1 , UPDATE , activity_7ba5f879-ff6f-53b6-6a06-60379b5520a8_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , application_Chronomètre_95cf89d1-10cb-769c-4f56-068b49a4d820_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , timer started,,,,,,,
Groupe 1_1513150298750_35,1513158332445, Groupe 1 , UPDATE , activity_7ba5f879-ff6f-53b6-6a06-60379b5520a8_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_92346480-8d60-128a-bc26-ebf561ae0250_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit moved,,,,,,,
Groupe 1_1513150298750_36,1513158498449, Groupe 1 , CREATE , activity_7ba5f879-ff6f-53b6-6a06-60379b5520a8_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , resource_15131584760612111813648.jpg , resource created,,,,,,,
Groupe 1_1513150298750_37,1513158520023, Groupe 1 , UPDATE , activity_7ba5f879-ff6f-53b6-6a06-60379b5520a8_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_bfce5294-bae0-f535-4609-f9a3f08448a8_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit moved,,,,,,,
Groupe 1_1513150298750_38,1513158524685, Groupe 1 , UPDATE , activity_7ba5f879-ff6f-53b6-6a06-60379b5520a8_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_bcf5c790-7ccd-d102-f6ea-dbfcf8cef9f9_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit moved,,,,,,,
Groupe 1_1513150298750_39,1513158529718, Groupe 1 , UPDATE , activity_7ba5f879-ff6f-53b6-6a06-60379b5520a8_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_b82c8944-d213-9c83-b5d9-6fa91aab4c96_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit moved,,,,,,,
Groupe 1_1513150298750_4,1513154987073, Groupe 1 , UPDATE , activity_a29d4a52-855e-b7bf-c37e-263c10a76758_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , ressource_application_Post-it_Postit_7c7e66c8-6489-9d6b-cf0d-0ab1bc33101f_duplicate_c06bacbb-bfa3-f012-a313-dad4cb1a7deb , postit updated,,,,,,,
