Question,1,2,3,4,5,6,7,N
The exercice was easy,0,0,2,8,0,1,0,11
Facility to find informations with search engine,0,0,0,3,2,4,2,11
I found information on Vikidia easily,1,0,1,2,0,2,5,11
Toccata is easy to use,1,2,0,0,1,3,4,11
Using Toccata is frustrating,7,4,0,1,0,2,1,15
Correct things take too long with Toccata,2,2,0,6,0,0,1,11
Every thing in same page is easy to manage,0,0,2,2,0,3,4,11
Toccata helps me to change step,0,1,0,3,4,1,2,11
Documents management is easy,0,0,0,3,6,1,1,11
Toccata helps me to concentrate on exercices,0,1,0,6,3,1,0,11
