Question,1,2,3,4,5,6,7,N
The exercice was easy,2,4,1,0,4,2,0,13
Facility to find informations with search engine,1,0,4,1,3,3,1,13
I found information on Vikidia easily,2,0,2,0,2,1,6,13
Paper sheet is easy to use,4,1,2,3,1,1,1,13
Using paper sheet is frustrating,4,1,0,0,4,0,4,13
Correct things take too long with paper sheet,2,1,1,1,3,0,5,13
Manage several page is easy,0,0,0,1,2,1,9,13
Paper sheet helps me to change step,1,1,3,2,0,3,3,13
Documents management is easy,2,0,2,4,2,0,3,13
Paper sheet helps me to concentrate on exercices,7,2,1,0,2,1,0,13
